parsed_from,year,month,region,median,mean,modal
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D1%82%D1%8E%D0%BC%D0%B5%D0%BD%D1%8C,2024,октябрь,тюмень,40000.0,68515.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D1%82%D0%BE%D0%BB%D1%8C%D1%8F%D1%82%D1%82%D0%B8,2022,февраль,тольятти,30000.0,37506.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%82%D0%BE%D0%BB%D1%8C%D1%8F%D1%82%D1%82%D0%B8,2024,апрель,тольятти,40000.0,54723.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8C&l=%D1%81%D0%B0%D0%BD%D0%BA%D1%82-%D0%BF%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3,2024,январь,санкт-петербург,49000.0,67276.0,60000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D1%82%D0%BE%D0%BB%D1%8C%D1%8F%D1%82%D1%82%D0%B8,2023,апрель,тольятти,35000.0,57017.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B1%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB,2024,апрель,барнаул,40000.0,55294.0,40000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%B1%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB,2024,декабрь,барнаул,40000.0,55294.0,40000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D1%82%D1%8E%D0%BC%D0%B5%D0%BD%D1%8C,2024,декабрь,тюмень,40000.0,68515.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%B1%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB,2024,октябрь,барнаул,40000.0,55294.0,40000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B1%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB,2023,февраль,барнаул,32000.0,46286.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B1%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB,2023,апрель,барнаул,35000.0,53892.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%BE%D0%BA%D1%82%D1%8F%D0%B1%D1%80%D1%8C&l=%D0%BC%D0%B0%D1%85%D0%B0%D1%87%D0%BA%D0%B0%D0%BB%D0%B0,2024,октябрь,махачкала,40000.0,55277.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%B1%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB,2022,февраль,барнаул,30000.0,42081.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B4%D0%B5%D0%BA%D0%B0%D0%B1%D1%80%D1%8C&l=%D0%BC%D0%B0%D1%85%D0%B0%D1%87%D0%BA%D0%B0%D0%BB%D0%B0,2024,декабрь,махачкала,40000.0,55277.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D1%8F%D0%BD%D0%B2%D0%B0%D1%80%D1%8C&l=%D0%BD%D0%BE%D0%B2%D0%BE%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA,2024,январь,новосибирск,42000.0,61404.0,50000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%BC%D0%B0%D1%85%D0%B0%D1%87%D0%BA%D0%B0%D0%BB%D0%B0,2024,апрель,махачкала,40000.0,55277.0,50000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%BC%D0%B0%D1%85%D0%B0%D1%87%D0%BA%D0%B0%D0%BB%D0%B0,2023,февраль,махачкала,30000.0,44721.0,30000.0
https://gorodrabot.ru/salary?y=2024&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B8%D0%B6%D0%B5%D0%B2%D1%81%D0%BA,2024,апрель,ижевск,40000.0,60027.0,50000.0
https://gorodrabot.ru/salary?y=2022&mnt=%D1%84%D0%B5%D0%B2%D1%80%D0%B0%D0%BB%D1%8C&l=%D0%BC%D0%B0%D1%85%D0%B0%D1%87%D0%BA%D0%B0%D0%BB%D0%B0,2022,февраль,махачкала,30000.0,46224.0,25000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%BC%D0%B0%D1%85%D0%B0%D1%87%D0%BA%D0%B0%D0%BB%D0%B0,2023,апрель,махачкала,35000.0,65349.0,30000.0
https://gorodrabot.ru/salary?y=2023&mnt=%D0%B0%D0%BF%D1%80%D0%B5%D0%BB%D1%8C&l=%D0%B8%D0%B6%D0%B5%D0%B2%D1%81%D0%BA,2023,апрель,ижевск,35000.0,49923.0,30000.0
